a,b,same_init,same_seed,d_unaligned,d_aligned
xavier_normal_s0,lognormal_jaynes_s1,False,False,81.73407004222858,72.94413943587767
xavier_normal_s0,lognormal_jaynes_s2,False,False,81.29980748619448,72.64906554900617
xavier_normal_s1,xavier_normal_s2,True,False,88.19876464069343,78.50166040897372
xavier_normal_s1,he_normal_s0,False,False,103.15339669953865,92.50488977199502
xavier_normal_s1,he_normal_s1,False,True,37.74159672039539,37.74159672039539
xavier_normal_s1,he_normal_s2,False,False,103.05850026398757,92.5548060740142
xavier_normal_s1,orthogonal_s0,False,False,88.25110288657771,78.49330613388202
xavier_normal_s1,orthogonal_s1,False,True,58.07244255126082,58.07244255126082
xavier_normal_s1,orthogonal_s2,False,False,89.10659251805673,79.2579610948692
xavier_normal_s1,lognormal_he_scale_s0,False,False,103.1412725444104,92.68503341716438
xavier_normal_s1,lognormal_he_scale_s1,False,True,103.26227127038815,92.73764386750672
xavier_normal_s1,lognormal_he_scale_s2,False,False,103.33786368569329,92.82513284006244
xavier_normal_s1,lognormal_jaynes_s0,False,False,80.64416656152672,72.19024490064479
xavier_normal_s1,lognormal_jaynes_s1,False,True,81.26294207516858,72.75075862590401
xavier_normal_s1,lognormal_jaynes_s2,False,False,81.12651286115154,72.55464158574354
xavier_normal_s2,he_normal_s0,False,False,103.13734085505216,92.53265805339609
xavier_normal_s2,he_normal_s1,False,False,103.04742641727825,92.48226318541882
xavier_normal_s2,he_normal_s2,False,True,37.396248233127245,37.396248233127245
xavier_normal_s2,orthogonal_s0,False,False,88.26338682609274,78.51602421283276
xavier_normal_s2,orthogonal_s1,False,False,88.7696614524845,79.04475143710852
xavier_normal_s2,orthogonal_s2,False,True,58.61389867476527,58.61389867476527
xavier_normal_s2,lognormal_he_scale_s0,False,False,103.37675096774632,92.7213357751438
xavier_normal_s2,lognormal_he_scale_s1,False,False,103.34535866571008,92.81846552501973
xavier_normal_s2,lognormal_he_scale_s2,False,True,103.3460131979037,92.75191755892014
xavier_normal_s2,lognormal_jaynes_s0,False,False,80.74868637535026,72.3365515289837
xavier_normal_s2,lognormal_jaynes_s1,False,False,81.36201964460392,72.8518153220322
xavier_normal_s2,lognormal_jaynes_s2,False,True,81.14788604091261,72.58519689112084
he_normal_s0,he_normal_s1,True,False,116.16644451842737,103.77003637620824
he_normal_s0,he_normal_s2,True,False,116.09480534994351,103.68231425519714
he_normal_s0,orthogonal_s0,False,True,66.60161464832767,66.60161464832767
he_normal_s0,orthogonal_s1,False,False,103.69162086445945,92.8445592667207
he_normal_s0,orthogonal_s2,False,False,103.97043233701686,93.13011273788325
he_normal_s0,lognormal_he_scale_s0,False,True,116.20276557888607,103.86818507219223
he_normal_s0,lognormal_he_scale_s1,False,False,116.4303232585072,103.93910002177952
he_normal_s0,lognormal_he_scale_s2,False,False,116.15925825894521,103.92536984417609
he_normal_s0,lognormal_jaynes_s0,False,True,96.88779814791596,88.07706541249746
he_normal_s0,lognormal_jaynes_s1,False,False,97.35193403727285,88.50598973142478
he_normal_s0,lognormal_jaynes_s2,False,False,97.01005896348765,88.29629432677945
he_normal_s1,he_normal_s2,True,False,115.93977443752833,103.69136745738733
he_normal_s1,orthogonal_s0,False,False,103.0885387879581,92.45383584360401
he_normal_s1,orthogonal_s1,False,True,67.4679160791989,67.4679160791989
he_normal_s1,orthogonal_s2,False,False,103.81067808808905,93.15714611837565
he_normal_s1,lognormal_he_scale_s0,False,False,116.09474784123823,103.9358684439554
he_normal_s1,lognormal_he_scale_s1,False,True,116.1362660739867,103.90424113980178
he_normal_s1,lognormal_he_scale_s2,False,False,116.21552890329983,103.90622303005206
he_normal_s1,lognormal_jaynes_s0,False,False,96.7121370309699,88.09991526068477
he_normal_s1,lognormal_jaynes_s1,False,True,97.1018832231446,88.41037040629216
he_normal_s1,lognormal_jaynes_s2,False,False,97.11679195790336,88.23273513755458
he_normal_s2,orthogonal_s0,False,False,103.18037632798686,92.45952744356019
he_normal_s2,orthogonal_s1,False,False,103.55626127504877,92.85290590006024
he_normal_s2,orthogonal_s2,False,True,68.09754211220601,68.09754211220601
he_normal_s2,lognormal_he_scale_s0,False,False,116.29058180903243,104.00411839535812
he_normal_s2,lognormal_he_scale_s1,False,False,116.30261915527447,104.00253453248746
he_normal_s2,lognormal_he_scale_s2,False,True,116.24962451540017,103.8449069499701
he_normal_s2,lognormal_jaynes_s0,False,False,96.82536840030635,88.1154398667166
he_normal_s2,lognormal_jaynes_s1,False,False,97.29432809299037,88.48569494516305
he_normal_s2,lognormal_jaynes_s2,False,True,97.01649883209375,88.26843169355958
orthogonal_s0,orthogonal_s1,True,False,88.7106618458975,78.75498182745966
orthogonal_s0,orthogonal_s2,True,False,89.18946455271069,79.11365033015838
orthogonal_s0,lognormal_he_scale_s0,False,True,103.29156589227043,92.65602668618509
orthogonal_s0,lognormal_he_scale_s1,False,False,103.40812940372709,92.79109404067286
orthogonal_s0,lognormal_he_scale_s2,False,False,103.20256378575084,92.72880289172895
orthogonal_s0,lognormal_jaynes_s0,False,True,80.77296935589312,72.0583754632633
orthogonal_s0,lognormal_jaynes_s1,False,False,81.4007592470855,72.69496180558649
orthogonal_s0,lognormal_jaynes_s2,False,False,80.99196746378801,72.29733948911584
orthogonal_s1,orthogonal_s2,True,False,89.53769694583963,79.5088245972994
orthogonal_s1,lognormal_he_scale_s0,False,False,103.778152482954,93.10697829621522
