arch,init,seed,norm_theta,mean_absW,ln_r2_mean,stable_rank_mean,lens_power_mean,sv_entropy_mean
B,pytorch_default,112,19.743618237121026,0.04150973644203528,0.8158697031007682,33.52391420397653,0.4935721308366611,4.41882637336892
B,pytorch_default,113,19.77222881924766,0.04159449003529819,0.8102504409096184,33.6008634023811,0.4961312453854966,4.419123613451345
B,pytorch_default,114,19.788064156622116,0.041804434906150045,0.8095005693179337,34.492088549906114,0.5006172008442334,4.419067723294974
B,pytorch_default,115,19.805850079329815,0.04180358231393322,0.8149993813663766,33.62593675354423,0.4927269184063242,4.419210450064158
B,pytorch_default,116,19.761645581134143,0.04153948213217852,0.8190096596018428,34.43322064345968,0.5033045257724418,4.421613403934677
B,pytorch_default,117,19.738303056451567,0.041385608598614246,0.8156427496547254,33.735602763866964,0.49539352228691735,4.417281203072231
B,pytorch_default,118,19.751807793840996,0.041559324104317084,0.8156394825321266,34.12745148383599,0.5012981518800406,4.4209425871716785
B,pytorch_default,119,19.768999458401133,0.04170082760788921,0.8159334954121699,33.89798659071923,0.4957951741285739,4.420598091877552
B,he_uniform,100,48.23458417683129,0.10228163546386566,0.81610162947843,34.29008708266647,0.4992862810112311,4.420749874252001
B,he_uniform,101,48.15854123613046,0.10188950204641718,0.8149359763360027,33.90764843948708,0.498225843388315,4.418093380402169
B,he_uniform,102,48.23050958225162,0.101699145993187,0.8164889528421533,34.27739146945538,0.5022256205837471,4.420499212105721
B,he_uniform,103,48.22905206866022,0.10210393966878675,0.8128904072161003,34.09241209343652,0.49944684647939147,4.420119250576711
B,he_uniform,104,48.24585970546076,0.1016693372597732,0.8151767151902221,34.0724896822308,0.497402484224107,4.417666612480888
B,he_uniform,105,48.20316575811955,0.10182362268812661,0.8167043261403906,33.8659205804576,0.49775990125377945,4.419560220745582
B,he_uniform,106,48.24325970420068,0.10188498734195135,0.8140678974173039,33.91118523043862,0.5001162541704226,4.420147541593198
B,he_uniform,107,48.22443531535507,0.10196027426560135,0.8144401434642538,34.08557267481163,0.4991514294250332,4.42013043937529
B,he_uniform,108,48.19928970814572,0.10182933470044409,0.8139463326382164,33.785374882813215,0.49090078140704874,4.417838081167945
B,he_uniform,109,48.208953349986125,0.10150855734672551,0.8142176275603605,34.12368270414301,0.4983152802850185,4.419849199648647
B,he_uniform,110,48.19557637625676,0.10176867936652904,0.8166965700093749,33.75192206068524,0.4989588238203904,4.420151733024799
B,he_uniform,111,48.25263990813434,0.10194488323447617,0.8147537370393781,34.3922885260558,0.5014129862361476,4.419687189410281
B,he_uniform,112,48.18255381041715,0.1015697290630723,0.817478435140049,33.850509504925675,0.4991268155344858,4.419779093116243
B,he_uniform,113,48.08963646379083,0.10148874313621103,0.8200999875011634,33.95047448381074,0.4999455148541777,4.419576757800456
B,he_uniform,114,48.12155864787127,0.10144738033644318,0.8187623773858526,34.117322260913724,0.5001411178208757,4.42134216034274
B,he_uniform,115,48.16057238371811,0.1015619440660968,0.8124343743469227,34.15211699257001,0.50028442349183,4.419683899361599
B,he_uniform,116,48.21642310355458,0.1017651263665823,0.8117319725839176,34.36893484062823,0.5019941515387139,4.418364067561029
B,he_uniform,117,48.221850773336364,0.10177689503862741,0.8141038038654023,34.010249226980946,0.49688190380731106,4.420173049256197
B,he_uniform,118,48.2823524271298,0.10195651223743685,0.8158341162104848,33.71969720902279,0.4970267356189478,4.41988944356595
B,he_uniform,119,48.12721180434588,0.1016440624557237,0.8172549779596533,34.00041880608881,0.4984660332887062,4.421467567351949
B,xavier_normal,100,35.59282513233886,0.06979748888596947,0.897751114472962,33.638074347971425,0.4933564866885923,4.418936087444491
B,xavier_normal,101,35.604900011263055,0.07027875719551965,0.8984536271478856,33.64116901001351,0.48768123116226114,4.418668451205553
B,xavier_normal,102,35.48850740157952,0.06954743181991503,0.8958434506158008,33.290594710380965,0.4921609097550569,4.41982501070383
