run_id,init,seed,epoch,test_acc,PC1_disp,PC2_disp,norm_theta,dist_from_own_init
A_he_normal_s2,he_normal,2,4,95.69,-0.48081558247354655,0.26703428461535444,81.06262509020011,13.86996888836429
A_he_normal_s2,he_normal,2,5,96.97,-0.5001845398006557,0.24678935222787438,81.25576978802417,15.205714323162361
A_he_normal_s2,he_normal,2,6,96.79,-0.5283064788183364,0.31301101247003427,81.41909995238532,16.24455488179226
A_he_normal_s2,he_normal,2,7,96.76,-0.584169023221438,0.3216226772213518,81.62384435374999,17.372844027236617
A_he_normal_s2,he_normal,2,8,96.91,-0.5837809895081277,0.32095047643993274,81.79298664778648,18.26484149137868
A_he_normal_s2,he_normal,2,9,97.13,-0.5629789327015317,0.3418989905092909,81.97487317623526,19.140515974033928
A_he_normal_s2,he_normal,2,10,97.25,-0.5813964225706865,0.36503015928444205,82.17447563270272,20.0633199052675
A_he_uniform_s0,he_uniform,0,0,8.92,-0.2176583253374993,0.10058888253247521,80.1074899330864,0.0
A_he_uniform_s0,he_uniform,0,1,93.83,-0.2220415349181887,0.1481879351157869,80.42558686110576,8.400944820340342
A_he_uniform_s0,he_uniform,0,2,94.75,-0.24871042413316924,0.18018525168084187,80.6044575835721,10.682239587179215
A_he_uniform_s0,he_uniform,0,3,95.66,-0.2629908208640475,0.20088160621049891,80.78725436028513,12.382863640052435
A_he_uniform_s0,he_uniform,0,4,96.64,-0.29148260041711577,0.21114361325887365,80.99641391729087,13.99042771256432
A_he_uniform_s0,he_uniform,0,5,96.56,-0.3024254695004253,0.23333485301329188,81.20010772216855,15.259571197889416
A_he_uniform_s0,he_uniform,0,6,96.82,-0.3339776706474534,0.26005121570897055,81.3828007471202,16.34216707568385
A_he_uniform_s0,he_uniform,0,7,96.52,-0.32000196585249074,0.2901601671561793,81.59011802472189,17.411157099248996
A_he_uniform_s0,he_uniform,0,8,96.73,-0.3587508751896252,0.301453133940244,81.81160746388423,18.539367436345934
A_he_uniform_s0,he_uniform,0,9,97.08,-0.38154320900006056,0.34003098506536633,82.04155012203802,19.624424263667525
A_he_uniform_s0,he_uniform,0,10,96.83,-0.3876450422466518,0.3533781146272071,82.26671382679766,20.664949048459036
A_he_uniform_s1,he_uniform,1,0,12.98,-0.21765832533749943,0.10058888253247532,80.03605235305213,0.0
A_he_uniform_s1,he_uniform,1,1,93.69,-0.3689553023957434,0.06998050517953061,80.33903012491133,8.555785337966151
A_he_uniform_s1,he_uniform,1,2,94.82,-0.38664269742122903,0.06652580113190383,80.53028091605238,10.805764335142376
A_he_uniform_s1,he_uniform,1,3,95.52,-0.44037895024930945,0.07212769374238284,80.71397275334064,12.507880515181247
A_he_uniform_s1,he_uniform,1,4,96.25,-0.47754231968113553,0.13645521514866027,80.92302913351668,14.007865922064727
A_he_uniform_s1,he_uniform,1,5,96.14,-0.5205958229437632,0.11685830882782955,81.1002502366933,15.168420505863311
A_he_uniform_s1,he_uniform,1,6,96.69,-0.5621062450232426,0.12467233025227702,81.28873498002393,16.281790310526933
A_he_uniform_s1,he_uniform,1,7,96.79,-0.5629141597799361,0.13509501515255373,81.48502874796597,17.37135398093404
A_he_uniform_s1,he_uniform,1,8,97.1,-0.5769564639292499,0.1501822232355512,81.69442388053379,18.5215471867698
A_he_uniform_s1,he_uniform,1,9,96.8,-0.5846438186231466,0.14791935004211632,81.94677337236276,19.684154621276427
